"id","dtc_code","dtc_description"
"4737","P1477","Additional Fan Relay Circuit Malfunction"
"4738","P1478","Cooling Fan Driver Fault"
"4739","P1479","High Fan Control Primary Circuit Malfunction"
"4740","P1480","Fan Secondary Low with Low Fan On"
"4741","P1481","Fan Secondary Low With High Fan On"
"4742","P1482","SCP"
"4743","P1483","Power To Fan Circuit Overcurrent"
"4744","P1484","Open Power To Ground VCRM"
"4745","P1485","EGRV Circuit Malfunction"
"4746","P1486","EGRA Circuit Malfunction"
"4747","P1487","EGRCHK Solenoid Circuit Malfunction"
"4748","P1490","Secondary Air Relief Solenoid Circuit Malfunction"
"4749","P1491","Secondary Switch Solenoid Circuit Malfunction"
"4750","P1492","APLSOL Solenoid Circuit Malfunction"
"4751","P1493","RCNT Solenoid Circuit Malfunction"
"4752","P1494","SPCUT Solenoid Circuit Malfunction"
"4753","P1495","TCSPL Solenoid Circuit Malfunction"
"4754","P1500","Vehicle Speed Sensor Intermittent"
"4755","P1501","Vehicle Speed Sensor Out Of Self Test Range"
"4756","P1502","Vehicle Speed Sensor Intermittent Malfunction"
"4757","P1503","Auxillary Speed Sensor Fault"
"4758","P1504","Idle Air Control Circuit Malfunction"
"4759","P1505","Idle Air Control System At Adaptive Clip"
"4760","P1506","Idle Air Control Overspeed Error"
"4761","P1507","Idle Air Control Underspeed Error"
"4762","P1508","Idle Control System Circuit Open"
"4763","P1509","Idle Control System Circuit Shorted"
"4764","P1510","Idle Signal Circuit Malfunction"
"4765","P1511","Idle Switch (Electric Control Throttle) Circuit Malfunction"
"4766","P1512","Intake Manifold Runner Control (Bank 1) Stuck Closed"
"4767","P1513","Intake Manifold Runner Control (Bank 2) Stuck Closed"
"4768","P1514","High Load Neutral/Drive Fault"
"4769","P1515","Electric Current Circuit Malfunction"
"4770","P1516","IMRC Input Error (Bank 1)"
"4771","P1517","IMRC Input Error (Bank 2)"
"4772","P1518","Intake Manifold Runner Control (Stuck Open)"
"4773","P1519","Intake Manifold Runner Control (Stuck Closed)"
"4774","P1520","Intake Manifold Runner Control Circuit Malfunction"
"4775","P1521","Variable Intake Solenoid #1 Circuit Malfunction"
"4776","P1522","Variable Intake Solenoid #2 Circuit Malfunction"
"4777","P1523","IVC Solenoid Circuit Malfunction"
"4778","P1524","Variable Intake Solenoid System"
"4779","P1525","Air Bypass Valve System"
"4780","P1526","Air Bypass System"
"4781","P1527","Accelerate Warmup Solenoid Circuit Malfunction"
"4782","P1528","Subsidiary Throttle Valve Solenoid Circuit Malfunction"
"4783","P1529","SCAIR Solenoid Circuit Malfunction"
"4784","P1530","A/C Clutch Circuit Malfunction"
"4785","P1531","Invalid Test - Accelerator Pedal Movement"
"4786","P1532","IMCC Circuit Malfunction, Bank B"
"4787","P1533","AAI Circuit Malfunction"
"4788","P1534","Inertia Switch Activated"
"4789","P1535","Blower Fan Speed Circuit Range/Performance"
"4790","P1536","Parking Brake Switch Circuit Failure"
"4791","P1537","Intake Manifold Runner Control (Bank 1) Stuck Open"
"4792","P1538","Intake Manifold Runner Control (Bank 2) Stuck Open"
"4793","P1539","Power To A/C Clutch Circuit Overcurrent"
"4794","P1540","Air Bypass Valve Circuit Malfunction"
"4795","P1549","IMCC Circuit Malfunction, Bank B"
"4796","P1550","PSPS Out Of Self Test Range"
"4797","P1565","Speed Control Command Switch Out of Range High"
"4798","P1566","Speed Control Command Switch Out of Range Low"
"4799","P1567","Speed Control Output Circuit Continuity"
"4800","P1568","Speed Control Unable to Hold Speed"
"4801","P1571","Brake Switch Malfunction"
"4802","P1572","Brake Pedal Switch Circuit Malfunction"
"4803","P1573","Throttle Position Not Available"
"4804","P1574","Throttle Position Sensor Disagreement btwn Sensors"
"4805","P1575","Pedal Position Out of Self Test Range"
"4806","P1576","Pedal Position Not Available"
"4807","P1577","Pedal Position Sensor Disagreement btwn Sensors"
"4808","P1578","ETC Power Less Than Demand"
"4809","P1579","ETC In Power Limiting Mode"
"4810","P1580","Electronic Throttle Monitor PCM Override"
"4811","P1581","Electronic Throttle Monitor Malfunction"
"4812","P1582","Electronic Throttle Monitor Data Available"
"4813","P1583","Electronic Throttle Monitor Cruise Disable"
"4814","P1584","TCU Detected IPE Circuit Malfunction"
"4815","P1585","Throttle Control Unit Malfunction"
"4816","P1586","Throttle Control Unit Throttle Position Malfunction"
"4817","P1587","Throttle Control Unit Modulated Command Malfunction"
"4818","P1588","Throttle Control Unit Detected Loss of Return Spring"
"4819","P1589","TCU Unable To Control Desired Throttle Angle"
"4820","P1600","Loss of KAM Power; Open Circuit"
"4821","P1601","ECM/TCM Serial Communication Error"
"4822","P1602","Immobilizer/ECM Communication Error"
"4823","P1603","EEPROM Malfunction"
"4824","P1604","Code Word Unregestered"
"4825","P1605","Keep Alive Memory Test Failure"
"4826","P1606","ECM Control Relay O/P Circuit Malfunction"
"4827","P1607","MIL O/P Circuit Malfunction"
"4828","P1608","Internal ECM Malfunction"
"4829","P1609","Diagnostic Lamp Driver Fault"
"4830","P1610","SBDS Interactive Codes"
"4831","P1611","SBDS Interactive Codes"
"4832","P1612","SBDS Interactive Codes"
"4833","P1613","SBDS Interactive Codes"
"4834","P1614","SBDS Interactive Codes"
"4835","P1615","SBDS Interactive Codes"
"4836","P1616","SBDS Interactive Codes"
"4837","P1617","SBDS Interactive Codes"
"4838","P1618","SBDS Interactive Codes"
"4839","P1619","SBDS Interactive Codes"
"4840","P1620","SBDS Interactive Codes"
"4841","P1621","Control Module Long Term Memory Performance/ Immobilizer Code Words Do Not Match"
"4842","P1622","Immobilizer ID Does Not Match"
"4843","P1623","Immobilizer Code Word/ID Number Write Failure"
"4844","P1624","Anti Theft System"
"4845","P1625","B+ Supply To VCRM Fan Circuit Malfunction"
"4846","P1626","Theft Deterrent Fuel Enable Signal Not Received/ B+ Supply To VCRM A/C Circuit Malfunction"
"4847","P1627","Module Supply Voltage Out Of Range"
"4848","P1628","Module Ignition Supply Input Malfunction"
"4849","P1629","Internal Voltage Regulator Malfunction"
"4850","P1630","Internal Vref Malfunction"
"4851","P1631","Theft Deterrent Start Enable Signal Not Correct/ Main Relay Malfunction (Power Hold)"
"4852","P1632","Smart Alternator Faults Sensor/Circuit Malfunction"
"4853","P1633","KAM Voltage Too Low"
"4854","P1634","Data Output Link Circuit Failure"
"4855","P1635","Tire / Axle Ratio Out of Acceptable Range"
"4856","P1636","Inductive Signature Chip Communication Error"
"4857","P1637","Can Link ECM/ABSCM Circuit / Network Malfunction"
"4858","P1638","Can Link ECM/INSTM Circuit / Network Malfunction"
"4859","P1639","Vehicle ID Block Corrupted or Not Programmed"
"4860","P1640","Powertrain DTCs Available in Another Module"
"4861","P1641","Fuel Pump Primary Circuit Failure"
"4862","P1642","Fuel Pump Monitor Circuit High Input"
"4863","P1643","Fuel Pump Monitor Circuit Low Input"
"4864","P1644","Fuel Pump Speed Control Circuit Malfunction"
"4865","P1645","Fuel Pump Resistor Switch Circuit Malfunction"
"4866","P1650","PSP Switch Out of Self Test Range"
"4867","P1651","PSP Switch Input Malfunction"
"4868","P1652","IAC Monitor Disabled by PSP Switch Failed On"
"4869","P1653","Power Steering Output Circuit Malfunction"
"4870","P1654","Recirculation Override Circuit Malfunction"
"4871","P1655","Starter Disable Circuit Malfunction"
"4872","P1660","Output Circuit Check Signal High"
"4873","P1661","Output Circuit Check Signal Low"
"4874","P1662","IDM_EN Circuit Failure"
"4875","P1663","Fuel Demand Command Signal Circuit Malfunction"
"4876","P1667","CI Circuit Malfunction"
"4877","P1668","PCM - IDM Communications Error"
"4878","P1670","Electronic Feedback Signal Not Detected"
"4879","P1680","Metering Oil Pump Malfunction"
"4880","P1681","Metering Oil Pump Malfunction"
"4881","P1682","Metering Oil Pump Malfunction"
"4882","P1683","Metering Oil Pump Temperature Sensor Circuit Malfunction"
"4883","P1684","Metering Oil Pump Position Sensor Circuit Malfunction"
"4884","P1685","Metering Oil Pump Stepping Motor Circuit Malfunction"
"4885","P1686","Metering Oil Pump Stepping Motor Circuit Malfunction"
"4886","P1687","Metering Oil Pump Stepping Motor Circuit Malfunction"
"4887","P1688","Metering Oil Pump Stepping Motor Circuit Malfunction"
"4888","P1689","Oil Pressure Control Solenoid Circuit Malfunction"
"4889","P1690","Wastegate Solenoid Circuit Malfunction"
"4890","P1691","Turbo Pressure Control Solenoid Circuit Malfunction"
"4891","P1692","Turbo Control Solenoid Circuit Malfunction"
"4892","P1693","Turbo Charge Control Circuit Malfunction"
"4893","P1694","Turbo Charge Relief Circuit Malfunction"
"4894","P1700","Transmission Indeterminate Failure (Failed to Neutral)"
"4895","P1701","Reverse Engagement Error"
"4896","P1702","TRS Circuit Intermittent Malfunction"
"4897","P1703","Brake Switch Out Of Self Test Range"
"4898","P1704","Digital TRS Failed to Transition States in KOEO / KOER"
"4899","P1705","Not in P or N During KOEO / KOER"
"4900","P1706","High Vehicle Speed Observed in Park"
"4901","P1707","Transfer Case Neutral Indicator Hard Fault Present"
"4902","P1708","Clutch Switch Circuit Malfunction"
"4903","P1709","PNP Switch Out Of Self Test Range"
"4904","P1711","TFT Sensor Out Of Self Test Range"
"4905","P1712","Trans Torque Reduction Request Signal Malfunction"
"4906","P1713","TFT Sensor In Range Failure Low Value"
"4907","P1714","SSA Inductive Signature Malfunction"
"4908","P1715","SSB Inductive Signature Malfunction"
"4909","P1716","SSC Inductive Signature Malfunction"
"4910","P1717","SSD Inductive Signature Malfunction"
"4911","P1718","TFT Sensor In Range Failure High"
"4912","P1720","Vehicle Speed (Meter) Circuit Malfunction"
"4913","P1721","Gear 1 Incorrect Ratio"
"4914","P1722","Gear 2 Incorrect Ratio"
"4915","P1723","Gear 3 incorrect Ratio"
"4916","P1724","Gear 4 Incorrect Ratio"
"4917","P1725","Insufficient Engine Speed Increase During Self Test"
"4918","P1726","Insufficient Engine Speed Decrease During Self Test"
"4919","P1727","Coast Clutch Solenoid Inductive Signature Malfunction"
"4920","P1728","Transmission Slip Error"
"4921","P1729","4x4 Low Switch Error"
"4922","P1730","Gear Control Malfunction 2,3,5"
"4923","P1731","1-2 Shift Malfunction"
"4924","P1732","2-3 Shift Malfunction"
"4925","P1733","3-4 Shift Malfunction"
"4926","P1734","Gear Control Malfunction"
"4927","P1735","First Gear Switch Circuit Malfunction"
"4928","P1736","Second Gear Switch Circuit Malfunction"
"4929","P1737","Lockup Solenoid System"
"4930","P1738","Shift Time Error"
"4931","P1739","Slip Solenoid System"
"4932","P1740","Torque Converter Clutch Inductive Signature Malfunction"
"4933","P1741","Torque Converter Clutch Control Error"
"4934","P1742","Torque Converter Clutch Solenoid Failed On"
"4935","P1743","Torque Converter Clutch Solenoid Failied On"
"4936","P1744","Torque Converter Clutch System Performance"
"4937","P1745","Line Pressure Solenoid System"
"4938","P1746","Pressure Control Solenoid A Open Circuit"
"4939","P1747","Pressure Control Solenoid A Short Circuit"
"4940","P1748","EPC Malfunction"
"4941","P1749","Pressure Control Solenoid Failed Low"
"4942","P1751","Shift Solenoid A Performance"
"4943","P1754","Coast Clutch Solenoid Circuit Malfunction"
"4944","P1755","Intermediate Speed Sensor (ISS) Malfunction"
"4945","P1756","Shift Solenoid B Performance"
"4946","P1760","Pressure Control Solenoid A Short Circuit"
"4947","P1761","Shift Solenoid C Performance"
"4948","P1762","Overdrive Band Failed Off"
"4949","P1765","Timing Solenoid Circuit Malfunction"
"4950","P1767","Torque Converter Clutch Circuit Malfunction"
"4951","P1768","Performance / Normal / Winter Mode Input Malfunction"
"4952","P1769","AG4 Transmission Torque Modulation Fault"
"4953","P1770","Clutch Solenoid Circuit Malfunction"
"4954","P1775","Transmission System MIL Fault"
"4955","P1776","Ignition Retard Request Duration Fault"
"4956","P1777","Ignition Retard Request Circuit Fault"
"4957","P1778","Transmission Reverse I/P Circuit Malfunction"
"4958","P1779","TCIL Circuit Malfunction"
"4959","P1780","Trans Control Switch (O/D Cancel) Out of Self Test Range"
"4960","P1781","4X4 Switch Out of Self Test Range"
"4961","P1782","P/ES Circuit Out Of Self Test Range"
"4962","P1783","Transmission Overtemperature Condition"
"4963","P1784","Transmission Mechanical Failure - First And Reverse"
"4964","P1785","Transmission Mechanical Failure - First And Second"
"4965","P1786","3-2 Downshift Error"
"4966","P1787","2-1 Downshift Error"
"4967","P1788","Pressure Control Solenoid B Open Circuit"
"4968","P1789","Pressure Control Solenoid B Short Circuit"
"4969","P1790","TP (Mechanical) Circuit Malfunction"
"4970","P1791","TP (Electric) Circuit Malfunction"
"4971","P1792","Barometer Pressure Circuit Malfunction"
"4972","P1793","Intake Air Volume Circuit Malfunction"
"4973","P1794","Battery Voltage Circuit Malfunction"
"4974","P1795","Idle Switch Circuit Malfunction"
"4975","P1796","Kick Down Switch Circuit Malfunction"
"4976","P1797","Neutral Switch Circuit Malfunction"
"4977","P1798","Coolant Temperature Circuit Malfunction"
"4978","P1799","Hold Switch Circuit Malfunction"
"4979","P1800","Transmission Clutch Interlock Safety Switch Circuit Failure"
"4980","P1801","Transmission Clutch Interlock Safety Switch Open Circuit"
"4981","P1802","Transmission Clutch Interlock Safety Switch Short Circuit To Battery"
"4982","P1803","Transmission Clutch Interlock Safety Switch Short Circuit To Ground"
"4983","P1804","Transmission 4-Wheel Drive High Indicator Circuit Failure"
"4984","P1805","Transmission 4-Wheel Drive High Indicator Open Circuit"
"4985","P1806","Transmission 4-Wheel Drive High Indicator Short Circuit To Battery"
"4986","P1807","Transmission 4-Wheel Drive High Indicator Short Circuit To Ground"
"4987","P1808","Transmission 4-Wheel Drive Low Indicator Circuit Failure"
"4988","P1809","Transmission 4-Wheel Drive Low Indicator Open Circuit"
"4989","P1810","TFP Valve Position Switch Circuit/ Transmission 4-Wheel Drive Low Indicator Short Circuit To Battery"
"4990","P1811","Transmission 4-Wheel Drive Low Indicator Short Circuit To Ground"
"4991","P1812","Transmission 4-Wheel Drive Mode Select Circuit Failure"
"4992","P1813","Transmission 4-Wheel Drive Mode Select Open Circuit"
"4993","P1814","Transmission 4-Wheel Drive Mode Select Short Circuit To Battery"
"4994","P1815","Transmission 4-Wheel Drive Mode Select Short Circuit To Ground"
"4995","P1816","Transmission Neutral Safety Switch Circuit Failure"
"4996","P1817","Transmission Neutral Safety Switch Open Circuit"
"4997","P1818","Transmission Neutral Safety Switch Short Circuit To Battery"
"4998","P1819","Transmission Neutral Safety Switch Short Circuit To Ground"
"4999","P1820","Transmission Transfer Case Clockwise Shift Relay Coil Circuit Failure"
"5000","P1821","Transmission Transfer Case Clockwise Shift Relay Coil Open Circuit"
"5001","P1822","Transmission Transfer Case Clockwise Shift Relay Coil Short Circuit To Battery"
"5002","P1823","Transmission Transfer Case Clockwise Shift Relay Coil Short Circuit To Ground"
"5003","P1824","Transmission 4-Wheel Drive Clutch Relay Circuit Failure"
"5004","P1825","Transmission 4-Wheel Drive Clutch Relay Open Circuit"
"5005","P1826","Transmission 4-Wheel Drive Low Clutch Relay Circuit To Battery"
"5006","P1827","Transmission 4-Wheel Drive Low Clutch Relay Circuit To Ground"
"5007","P1828","Transmission Transfer Case Counter Clockwise Shift Relay Coil Circuit Failure"
"5008","P1829","Transmission Transfer Case Counter Clockwise Shift Relay Coil Open Circuit"
"5009","P1830","Transmission Transfer Case Counter Clockwise Shift Relay Coil Short Circuit To Battery"
"5010","P1831","Transmission Transfer Case Counter Clockwise Shift Relay Coil Short Circuit To Ground"
"5011","P1832","Transmission Transfer Case Differential Lock-Up Solenoid Circuit Failure"
"5012","P1833","Transmission Transfer Case Differential Lock-Up Solenoid Open Circuit"
"5013","P1834","Transmission Transfer Case Differential Lock-Up Solenoid Short Circuit To Battery"
"5014","P1835","Transmission Transfer Case Differential Lock-Up Solenoid Short Circuit To Ground"
"5015","P1836","Transmission Transfer Case Front Shaft Speed Sensor Circuit Failure"
"5016","P1837","Transmission Transfer Case Rear Shaft Speed Sensor Circuit Failure"
"5017","P1838","Transmission Transfer Case Shift Motor Circuit Failure"
"5018","P1839","Transmission Transfer Case Shift Motor Open Circuit"
"5019","P1840","Transmission Transfer Case Shift Motor Short Circuit To Battery"
"5020","P1841","Transmission Transfer Case Shift Motor Short Circuit To Ground"
"5021","P1842","Transmission Transfer Case Differential Lock-Up Feedback Switch Circuit Failure"
"5022","P1843","Transmission Transfer Case Differential Lock-Up Feedback Switch Open Circuit"
"5023","P1844","Transmission Transfer Case Differential Lock-Up Feedback Switch Short Circuit To Battery"
"5024","P1845","Transmission Transfer Case Differential Lock-Up Feedback Switch Short Circuit To Ground"
"5025","P1846","Transmission Transfer Case Contact Plate 'A' Circuit Failure"
"5026","P1847","Transmission Transfer Case Contact Plate 'A' Open Circuit"
"5027","P1848","Transmission Transfer Case Contact Plate 'A' Short Circuit To Battery"
"5028","P1849","Transmission Transfer Case Contact Plate 'A' Short Circuit To Ground"
"5029","P1850","Transmission Transfer Case Contact Plate 'B' Circuit Failure"
"5030","P1851","Transmission Transfer Case Contact Plate 'B' Open Circuit"
"5031","P1852","Transmission Transfer Case Contact Plate 'B' Short Circuit To Battery"
"5032","P1853","Transmission Transfer Case Contact Plate 'B' Short Circuit To Ground"
"5033","P1854","Transmission Transfer Case Contact Plate 'C' Circuit Failure"
"5034","P1855","Transmission Transfer Case Contact Plate 'C' Open Circuit"
"5035","P1856","Transmission Transfer Case Contact Plate 'C' Short Circuit To Battery"
"5036","P1857","Transmission Transfer Case Contact Plate 'C' Short Circuit To Ground"
"5037","P1858","Transmission Transfer Case Contact Plate 'D' Circuit Failure"
"5038","P1859","Transmission Transfer Case Contact Plate 'D' Open Circuit"
"5039","P1860","TCC PWM Solenoid Circuit Electrical/ Transmission Transfer Case Contact Plate 'D' Short Circuit To Battery"
"5040","P1861","Transmission Transfer Case Contact Plate 'D' Short Circuit To Ground"
"5041","P1862","Transmission Transfer Case Contact Plate Power Circuit Failure"
"5042","P1863","Transmission Transfer Case Contact Plate Power Open Circuit"
"5043","P1864","Transmission Transfer Case Contact Plate Power Short To Battery"
"5044","P1865","Transmission Transfer Case Contact Plate Power Short To Ground"
"5045","P1866","Transmission Transfer Case System Concern - Servicing Required"
"5046","P1867","Transmission Transfer Case Contact Plate General Circuit Failure"
"5047","P1868","Transmission Automatic 4-Wheel Drive Indicator (Lamp) Circuit Failure"
"5048","P1869","Transmission Automatic 4-Wheel Drive Indicator (Lamp) Circuit Short To Battery"
"5049","P1870","Transmission Component Slipping/ Transmission Mechanical Transfer Case 4x4 Switch Circuit Failure"
"5050","P1871","Transmission Mechanical Transfer Case 4x4 Switch Circuit Short To Battery"
"5051","P1872","Transmission Mechanical 4-Wheel Drive Axle Lock Lamp Circuit Failure"
"5052","P1873","Transmission Mechanical 4-Wheel Drive Axle Lock Lamp Circuit Short To Battery"
"5053","P1874","Transmission Automatic Hall Effect Sensor Power Circuit Failure"
"5054","P1875","Transmission Automatic Hall Effect Sensor Power Circuit Short To Battery / 4WD Low Switch Circuit Electrical"
"5055","P1876","Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Failure"
"5056","P1877","Transmission Transfer Case 2-Wheel Drive Solenoid Circuit Short To Battery"
"5057","P1878","Transmission Transfer Case Disengaged Solenoid Circuit Failure"
"5058","P1879","Transmission Transfer Case Disengaged Solenoid Open Circuit"
"5059","P1880","Transmission Transfer Case Disengaged Solenoid Short to Battery"
"5060","P1881","Engine Coolant Level Switch Circuit Failure, GEM"
"5061","P1882","Engine Coolant Level Switch Circuit Short to Ground"
"5062","P1883","Engine Coolant Level Switch Circuit Failure, GEM"
"5063","P1884","Engine Coolant Level Lamp Circuit Short to Ground"
"5064","P1885","Transmission Transfer Case Disengaged Solenoid Short to Ground"
"5065","P1886","4X4 Initialization Failure"
"5066","P1890","Transmission 4WD Mode Select Return Input Circuit Failure"
"5067","P1891","Transmission Transfer Case Contact Plate Ground Return Open Circuit"
"5068","P1900","OSS Circuit Intermittent Malfunction"
"5069","P1901","TSS Circuit Intermittent Malfunction"
"5070","P1902","Pressure Control Solenoid B Intermittent Short"
"5071","P1903","Pressure Control Solenoid C Short Circuit"
"5072","P1904","Pressure Control Solenoid C Open Circuit"
"5073","P1905","Pressure Control Solenoid C Intermittent Short"
"5074","P1906","Kickdown Pull Relay Open or Short Circuit to Ground"
"5075","P1907","Kickdown Hold Relay Open or Short Circuit to Ground"
"5076","P1908","Transmission Pressure Circuit Solenoid Open or Short to Ground"
"5077","P1909","Trans Temp Sensor Circuit Open or Shorted to Pwr or Gnd"
"5078","P1910","VFS A Pressure Output Failed Low"
"5079","P1911","VFS B Pressure Output Failed Low"
"5080","P1912","VFS C Pressure Output Failed Low"
"5081","P1913","Pressure Switch A Circuit Malfunction"
"5082","P1914","Manually Shifted Automatic (MSA) Sw Circuit Malf"
"5083","P1915","Reverse Switch Circuit Malfunction"
"5084","P1916","High Clutch Drum Speed Sensor Malfunction"
"5085","P1917","High Clutch Drum Speed Sensor Intermittent"
"5086","P1918","Transmission Range Display Circuit Malfunction"
"5092","U0001","High Speed CAN Communication Bus"
"5093","U0100","Lost Communication With ECM/PCM A"
"5094","U0101","Lost Communication with TCM"
"5095","U0102","Lost Communication with Transfer Case Control Module"
"5096","U0103","Lost Communication With Gear Shift Module"
"5097","U0104","Lost Communication With Cruise Control Module"
"5098","U0105","Lost Communication With Fuel Injector Control Module"
"5099","U0106","Lost Communication With Glow Plug Control Module"
"5100","U0107","Lost Communication With Throttle Actuator Control Module"
"5101","U0108","Lost Communication With Alternative Fuel Control Module"
"5102","U0109","Lost Communication With Fuel Pump Control Module"
"5103","U010A","Lost Communication With Exhaust Gas Recirculation Control Module A"
"5104","U010B","Lost Communication With Exhaust Gas Recirculation Control Module B"
"5105","U010C","Lost Communication With Turbocharger/Supercharger Control Module A"
"5106","U010D","Lost Communication With Turbocharger/Supercharger Control Module B"
"5107","U010E","Lost Communication With Reductant Control Module"
"5108","U010F","Lost Communication With Air Conditioning Control Module"
"5109","U0110","Lost Communication With Drive Motor Control Module"
"5110","U0111","Lost Communication With Battery Energy Control Module A"
"5111","U0112","Lost Communication With Battery Energy Control Module B"
"5112","U0113","Lost Communication With Emissions Critical Control Information"
"5113","U0114","Lost Communication With Four-Wheel Drive Clutch Control Module"
"5114","U0115","Lost Communication With ECM/PCM B"
"5115","U0116","Lost Communication With Coolant Temperature Control Module"
"5116","U0117","Lost Communication With PTO Control Module"
"5117","U0118","Lost Communication With Fuel Additive Control Module"
"5118","U0119","Lost Communication With Fuel Cell Control Module"
"5119","U011A","Lost Communication With Exhaust Gas Sensor Module"
"5120","U011B","Lost Communication With Rocker Arm Control Module A"
"5121","U011C","Lost Communication With Rocker Arm Control Module B"
"5122","U011D","Lost Communication With All Wheel Drive Control Module"
"5123","U011E",", U011F ISO/SAE Reserved"
"5124","U0120","Lost Communication With Starter / Generator Control Module"
"5125","U0121","Lost Communication With Anti-Lock Brake System (ABS) Control Module"
"5126","U0122","Lost Communication With Vehicle Dynamics Control Module"
"5127","U0123","Lost Communication With Yaw Rate Sensor Module"
"5128","U0124","Lost Communication With Lateral Acceleration Sensor Module"
"5129","U0125","Lost Communication With Multi-axis Acceleration Sensor Module"
"5130","U0126","Lost Communication With Steering Angle Sensor Module"
"5131","U0127","Lost Communication With Tire Pressure Monitor Module"
"5132","U0128","Lost Communication With Park Brake Control Module"
"5133","U0129","Lost Communication With Brake System Control Module"
"5134","U012A",", U012B, U012C, U012D, U012E, U012F ISO/SAE Reserved"
"5135","U0130","Lost Communication With Steering Effort Control Module"
"5136","U0131","Lost Communication With Power Steering Control Module"
"5137","U0132","Lost Communication With Ride Level Control Module"
"5138","U0133","Lost Communication With Active Roll Control Module"
"5139","U0134","Lost Communication With Power Steering Control Module Rear"
"5140","U0135","Lost Communication With Differential Control ModuleFront"
"5141","U0136","Lost Communication With Differential Control ModuleRear"
"5142","U0137","Lost Communication With Trailer Brake Control Module"
"5143","U0138","Lost Communication With All Terrain Control Module"
"5144","U0139","Lost Communication With Suspension Control Module B"
"5145","U013A",", U013B, U013C, U013D, U013E, U013F ISO/SAE Reserved"
"5146","U0140","Lost Communication With Body Control Module"
"5147","U0141","Lost Communication With Body Control Module A"
"5148","U0142","Lost Communication With Body Control Module B"
"5149","U0143","Lost Communication With Body Control Module C"
"5150","U0144","Lost Communication With Body Control Module D"
"5151","U0145","Lost Communication With Body Control Module E"
"5152","U0146","Lost Communication With Gateway A"
"5153","U0147","Lost Communication With Gateway B"
"5154","U0148","Lost Communication With Gateway C"
"5155","U0149","Lost Communication With Gateway D"
"5156","U014A",", U014B, U014C, U014D, U014E, U014F ISO/SAE Reserved"
"5157","U0150","Lost Communication With Gateway E"
"5158","U0151","Lost Communication With Restraints Control Module"
"5159","U0152","Lost Communication With Side Restraints Control Module Left"
"5160","U0153","Lost Communication With Side Restraints Control Module Right"
"5161","U0154","Lost Communication With Restraints Occupant Sensing Control Module"
"5162","U0155","Lost Communication With Instrument Panel Cluster (IPC) Control Module"
"5163","U0156","Lost Communication With Information Center A"
"5164","U0157","Lost Communication With Information Center B"
"5165","U0158","Lost Communication With Head Up Display"
"5166","U0159","Lost Communication With Parking Assist Control Module A"
"5167","U015A",", U015B, U015C, U015D, U015E, U015F ISO/SAE Reserved"
"5168","U0160","Lost Communication With Audible Alert Control Module"
"5169","U0161","Lost Communication With Compass Module"
"5170","U0162","Lost Communication With Navigation Display Module"
"5171","U0163","Lost Communication With Navigation Control Module"
"5172","U0164","Lost Communication With HVAC Control Module"
"5173","U0165","Lost Communication With Rear HVAC Control Module"
"5174","U0166","Lost Communication With Auxiliary Heater Control Module"
"5175","U0167","Lost Communication With Vehicle Immobilizer Control Module"
"5176","U0168","Lost Communication With Vehicle Security Control Module"
"5177","U0169","Lost Communication With Sunroof Control Module"
"5178","U016A","Lost Communication With Global Positioning System Module"
"5179","U016B",", U016C, U016D, U016E, U016F ISO/SAE Reserved"
"5180","U0170","Lost Communication With Restraints System Sensor A"
"5181","U0171","Lost Communication With Restraints System Sensor B"
"5182","U0172","Lost Communication With Restraints System Sensor C"
"5183","U0173","Lost Communication With Restraints System Sensor D"
"5184","U0174","Lost Communication With Restraints System Sensor E"
"5185","U0175","Lost Communication With Restraints System Sensor F"
"5186","U0176","Lost Communication With Restraints System Sensor G"
"5187","U0177","Lost Communication With Restraints System Sensor H"
"5188","U0178","Lost Communication With Restraints System Sensor I"
"5189","U0179","Lost Communication With Restraints System Sensor J"
"5190","U017A","Lost Communication With Restraints System Sensor K"
"5191","U017B","Lost Communication With Restraints System Sensor L"
"5192","U017C","Lost Communication With Restraints System Sensor M"
"5193","U017D","Lost Communication With Restraints System Sensor N"
"5194","U017E","Lost Communication With Seatbelt Pretensioner Module A"
"5195","U017F","Lost Communication With Seatbelt Pretensioner Module B"
"5196","U0180","Lost Communication With Automatic Lighting Control Module"
"5197","U0181","Lost Communication With Headlamp Leveling Control Module"
"5198","U0182","Lost Communication With Front Lighting Control Module"
"5199","U0183","Lost Communication With Rear Lighting Control Module"
"5200","U0184","Lost Communication With Radio"
"5201","U0185","Lost Communication With Antenna Control Module"
"5202","U0186","Lost Communication With Audio Amplifier A"
"5203","U0187","Lost Communication With Digital Disc Player/Changer Module A"
"5204","U0188","Lost Communication With Digital Disc Player/Changer Module B"
"5205","U0189","Lost Communication With Digital Disc Player/Changer Module C"
"5206","U018A",", U018B, U018C, U018D, U018E, U018F ISO/SAE Reserved"
"5207","U0190","Lost Communication With Digital Disc Player/Changer Module D"
"5208","U0191","Lost Communication With Television"
"5209","U0192","Lost Communication With Personal Computer"
"5210","U0193","Lost Communication With Digital Audio Control Module A"
"5211","U0194","Lost Communication With Digital Audio Control Module B"
"5212","U0195","Lost Communication With Subscription Entertainment Receiver Module"
"5213","U0196","Lost Communication With Rear Seat Entertainment Control Module"
"5214","U0197","Lost Communication With Telephone Control Module"
